GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
RPRD2	-17.34	12	-3.36	0.000384	33	0.21	1	18025	1
RNF41	-17.19	12	-3.33	0.000428	34	0.227	1	18024	1
B4GALT5	-16.93	12	-3.29	0.000509	35	0.263	0.999	18023	1
SCAF8	-16.64	12	-3.23	0.000616	36	0.309	0.999	18022	1
GALNT6	-16.43	12	-3.19	0.000708	37	0.346	0.999	18021	1
TCEA1	-16.38	12	-3.18	0.000731	38	0.347	0.999	18020	1
SUPT6H	-16.05	12	-3.12	0.000908	39	0.42	0.999	18019	1
PHF2	-15.71	12	-3.05	0.00113	40	0.51	0.999	18018	1
ZFP36L1	-15.67	12	-3.05	0.00116	41	0.51	0.999	18017	1
TARDBP	-15.51	12	-3.02	0.00128	42	0.54	0.999	18016	1
CDC73	-15.50	12	-3.01	0.00128	43	0.54	0.999	18015	1
SZT2	-15.25	12	-2.97	0.00151	44	0.618	0.998	18014	1
CASC5	-15.08	12	-2.94	0.00167	45	0.669	0.998	18013	1
PPP2CA	-14.99	12	-2.92	0.00177	46	0.682	0.998	18012	1
ITPKA	-14.98	12	-2.92	0.00177	47	0.682	0.998	18011	1
NCOR1	-14.91	12	-2.90	0.00185	48	0.687	0.998	18010	1
SUDS3	-14.89	12	-2.90	0.00187	49	0.687	0.998	18009	1
INTS5	-14.87	12	-2.89	0.0019	50	0.687	0.998	18008	1
INTS8	-14.79	12	-2.88	0.002	51	0.704	0.998	18007	1
SMARCB1	-14.76	12	-2.87	0.00203	52	0.704	0.998	18006	1
WEE1	-14.47	12	-2.82	0.00242	53	0.823	0.998	18005	1
WDR61	-14.40	12	-2.80	0.00252	54	0.839	0.997	18004	1
KCND3	-14.37	12	-2.80	0.00255	55	0.839	0.997	18003	1
NPRL2	-14.12	12	-2.75	0.00296	56	0.905	0.997	18002	1
TOR1AIP1	-14.08	12	-2.75	0.00303	57	0.905	0.997	18001	1
MDH2	-13.94	12	-2.72	0.00328	58	0.905	0.997	18000	1
ASAP1	-13.94	12	-2.72	0.00328	59	0.905	0.997	17999	1
GAN	-13.82	12	-2.69	0.00353	60	0.905	0.996	17998	1
TRAF2	-13.80	12	-2.69	0.00357	61	0.905	0.996	17997	1
TEN1	-13.79	12	-2.69	0.00357	62	0.905	0.996	17996	1
NUP98	-13.72	12	-2.68	0.00373	63	0.905	0.996	17995	1
NUP188	-13.71	12	-2.67	0.00375	64	0.905	0.996	17994	1
RTF1	-13.69	12	-2.67	0.00379	65	0.905	0.996	17993	1
HOXC8	-13.40	12	-2.62	0.00446	66	0.905	0.996	17992	0.999
POMP	-13.39	12	-2.61	0.00449	67	0.905	0.996	17991	0.999
EP300	-13.31	12	-2.60	0.00468	68	0.905	0.995	17990	0.999
PFKFB4	-13.25	12	-2.59	0.00484	69	0.905	0.995	17989	0.999
RFWD2	-13.21	12	-2.58	0.00494	70	0.905	0.995	17988	0.999
ATL3	-13.19	12	-2.58	0.00501	71	0.905	0.995	17987	0.999
PDS5B	-13.18	12	-2.57	0.00504	72	0.905	0.995	17986	0.999
PACS1	-13.14	12	-2.57	0.00515	73	0.905	0.995	17985	0.999
YAF2	-13.13	12	-2.56	0.00518	74	0.905	0.995	17984	0.999
MKLN1	-13.09	12	-2.56	0.00529	75	0.905	0.995	17983	0.999
NCAN	-13.04	12	-2.55	0.00545	76	0.905	0.995	17982	0.999
AKIRIN2	-12.99	12	-2.54	0.00559	77	0.905	0.994	17981	0.999
LSM12	-12.98	12	-2.53	0.00563	78	0.905	0.994	17980	0.999
NOSIP	-12.94	12	-2.53	0.00574	79	0.905	0.994	17979	0.999
NUP50	-12.91	12	-2.52	0.00584	80	0.905	0.994	17978	0.999
MED25	-12.85	12	-2.51	0.00601	81	0.905	0.994	17977	0.998
TIPARP	-12.84	12	-2.51	0.00605	82	0.905	0.994	17976	0.998
MAPK7	-12.80	12	-2.50	0.0062	83	0.905	0.994	17975	0.998
ACVRL1	-12.77	12	-2.50	0.00627	84	0.905	0.994	17974	0.998
TLX1NB	-12.67	12	-2.48	0.00664	85	0.905	0.993	17973	0.998
SENP2	-12.67	12	-2.48	0.00665	86	0.905	0.993	17972	0.998
GJD2	-12.67	12	-2.48	0.00665	87	0.905	0.993	17971	0.998
B2M	-12.65	12	-2.47	0.0067	88	0.905	0.993	17970	0.998
LPAR3	-12.53	12	-2.45	0.00715	89	0.905	0.993	17969	0.998
TXNDC15	-12.46	12	-2.44	0.00742	90	0.905	0.993	17968	0.997
SMARCC1	-12.44	12	-2.43	0.00749	91	0.905	0.993	17967	0.997
SUPT5H	-12.37	12	-2.42	0.00777	92	0.905	0.992	17966	0.997
SNRNP40	-12.28	12	-2.40	0.00813	93	0.905	0.992	17965	0.997
SLC2A6	-12.28	12	-2.40	0.00814	94	0.905	0.992	17964	0.997
BRK1	-12.26	12	-2.40	0.00821	95	0.905	0.992	17963	0.997
SLC52A3	-12.25	12	-2.40	0.00829	96	0.905	0.992	17962	0.997
TMPRSS6	-12.20	12	-2.39	0.00847	97	0.905	0.992	17961	0.997
INPPL1	-12.08	12	-2.36	0.00904	98	0.905	0.991	17960	0.996
CSNK2A1	-10.40	9	-2.35	0.00935	99	0.905	0.991	17959	0.996
DNAJC17	-12.00	12	-2.35	0.00941	100	0.905	0.991	17958	0.996
OR4D11	-11.99	12	-2.35	0.00946	101	0.905	0.991	17957	0.996
C17orf96	-11.98	12	-2.35	0.00949	102	0.905	0.991	17956	0.996
TBL1XR1	-11.96	12	-2.34	0.00961	103	0.905	0.99	17955	0.996
PSMF1	-11.95	12	-2.34	0.00963	104	0.905	0.99	17954	0.996
CYFIP1	-11.92	12	-2.33	0.00982	105	0.905	0.99	17953	0.996
DHRS3	-11.87	12	-2.33	0.01	106	0.905	0.99	17952	0.996
UBE4B	-11.87	12	-2.32	0.01	107	0.905	0.99	17951	0.996
ATP13A1	-11.85	12	-2.32	0.0102	108	0.905	0.99	17950	0.996
YPEL1	-11.85	12	-2.32	0.0102	109	0.905	0.99	17949	0.996
CCDC151	-11.81	12	-2.31	0.0104	110	0.905	0.99	17948	0.996
C6orf52	-11.77	12	-2.31	0.0105	111	0.905	0.989	17947	0.996
GSX1	-11.65	12	-2.28	0.0112	112	0.905	0.989	17946	0.995
ING3	-11.65	12	-2.28	0.0112	113	0.905	0.989	17945	0.995
BHLHE22	-11.64	12	-2.28	0.0113	114	0.905	0.989	17944	0.995
STRIP1	-11.60	12	-2.27	0.0115	115	0.905	0.989	17943	0.995
MORF4L2	-11.60	12	-2.27	0.0115	116	0.905	0.989	17942	0.995
THAP11	-11.57	12	-2.27	0.0117	117	0.905	0.988	17941	0.995
NDUFS6	-11.56	12	-2.27	0.0117	118	0.905	0.988	17940	0.995
ZNF662	-11.53	12	-2.26	0.0119	119	0.905	0.988	17939	0.995
MON1B	-11.52	12	-2.26	0.012	120	0.905	0.988	17938	0.995
NDC1	-11.50	12	-2.25	0.0121	121	0.905	0.988	17937	0.995
CEP85L	-11.46	12	-2.25	0.0123	122	0.905	0.988	17936	0.994
PLK2	-11.45	12	-2.24	0.0124	123	0.905	0.988	17935	0.994
GAL3ST3	-11.41	12	-2.24	0.0127	124	0.905	0.987	17934	0.994
GGNBP2	-11.41	12	-2.24	0.0127	125	0.905	0.987	17933	0.994
RFX1	-11.40	12	-2.24	0.0127	126	0.905	0.987	17932	0.994
FOXF2	-11.37	12	-2.23	0.0129	127	0.905	0.987	17931	0.994
PARVA	-11.35	12	-2.23	0.013	128	0.905	0.987	17930	0.994
PAXIP1	-11.34	12	-2.22	0.0131	129	0.905	0.987	17929	0.994
SEMA4A	-11.31	12	-2.22	0.0133	130	0.905	0.987	17928	0.994
RAD9A	-11.30	12	-2.22	0.0133	131	0.905	0.987	17927	0.994
ATG10	-11.30	12	-2.22	0.0134	132	0.905	0.987	17926	0.994
TRIM27	-11.25	12	-2.21	0.0137	133	0.905	0.986	17925	0.994
TOP1	-11.25	12	-2.21	0.0137	134	0.905	0.986	17924	0.994
GNA12	-11.25	12	-2.21	0.0137	135	0.905	0.986	17923	0.994
GDF11	-11.24	12	-2.20	0.0137	136	0.905	0.986	17922	0.994
FMO3	-11.19	12	-2.20	0.0141	137	0.905	0.986	17921	0.993
TMEM106C	-11.18	12	-2.19	0.0142	138	0.905	0.986	17920	0.993
NIPA2	-11.16	12	-2.19	0.0143	139	0.905	0.986	17919	0.993
GDF10	-11.16	12	-2.19	0.0143	140	0.905	0.986	17918	0.993
CDK6	-11.13	12	-2.18	0.0145	141	0.905	0.986	17917	0.993
PAN2	-11.08	12	-2.17	0.0148	142	0.905	0.985	17916	0.993
HFE2	-11.07	12	-2.17	0.0149	143	0.905	0.985	17915	0.993
LCE4A	-9.58	9	-2.17	0.015	144	0.905	0.985	17914	0.993
TMOD3	-11.06	12	-2.17	0.015	145	0.905	0.985	17913	0.993
CCNF	-11.06	12	-2.17	0.015	146	0.905	0.985	17912	0.993
BUB1B	-11.05	12	-2.17	0.015	147	0.905	0.985	17911	0.993
NUFIP2	-11.05	12	-2.17	0.015	148	0.905	0.985	17910	0.993
STXBP2	-11.05	12	-2.17	0.0151	149	0.905	0.985	17909	0.993
NUCB2	-11.05	12	-2.17	0.0151	150	0.905	0.985	17908	0.993
CEP120	-11.00	12	-2.16	0.0154	151	0.905	0.985	17907	0.993
TMPO	-11.00	12	-2.16	0.0154	152	0.905	0.985	17906	0.993
GPR12	-10.95	12	-2.15	0.0158	153	0.905	0.984	17905	0.993
OR52B2	-10.94	12	-2.15	0.0159	154	0.905	0.984	17904	0.993
C1orf195	-10.93	12	-2.15	0.0159	155	0.905	0.984	17903	0.993
BRD9	-10.93	12	-2.15	0.016	156	0.905	0.984	17902	0.993
MTMR11	-10.89	12	-2.14	0.0162	157	0.905	0.984	17901	0.992
HSD17B3	-10.86	12	-2.13	0.0165	158	0.905	0.984	17900	0.992
IL17A	-10.85	12	-2.13	0.0166	159	0.905	0.983	17899	0.992
RAD1	-10.84	12	-2.13	0.0166	160	0.905	0.983	17898	0.992
C6orf222	-10.83	12	-2.13	0.0167	161	0.905	0.983	17897	0.992
EHMT2	-10.79	12	-2.12	0.017	162	0.905	0.983	17896	0.992
MAP3K2	-10.74	12	-2.11	0.0174	163	0.905	0.983	17895	0.991
SEC16B	-10.74	12	-2.11	0.0175	164	0.905	0.983	17894	0.991
TLE3	-10.72	12	-2.11	0.0176	165	0.905	0.982	17893	0.991
DNAJC13	-10.71	12	-2.11	0.0176	166	0.905	0.982	17892	0.991
EPHB2	-10.70	12	-2.10	0.0177	167	0.905	0.982	17891	0.991
EWSR1	-10.70	12	-2.10	0.0178	168	0.905	0.982	17890	0.991
ERBB2IP	-10.70	12	-2.10	0.0178	169	0.905	0.982	17889	0.991
SLC5A11	-10.69	12	-2.10	0.0178	170	0.905	0.982	17888	0.991
INHBC	-10.66	12	-2.10	0.0181	171	0.905	0.982	17887	0.991
CCR4	-10.64	12	-2.09	0.0183	172	0.905	0.982	17886	0.991
MROH2B	-10.64	12	-2.09	0.0183	173	0.905	0.982	17885	0.991
OR13G1	-10.61	12	-2.08	0.0185	174	0.905	0.981	17884	0.991
CDC40	-10.60	12	-2.08	0.0187	175	0.905	0.981	17883	0.991
TPX2	-10.59	12	-2.08	0.0187	176	0.905	0.981	17882	0.991
HLA-DQB2	-10.58	12	-2.08	0.0188	177	0.905	0.981	17881	0.991
ORAI2	-10.56	12	-2.08	0.0189	178	0.905	0.981	17880	0.991
ME3	-10.54	12	-2.07	0.0192	179	0.905	0.981	17879	0.991
PFKP	-10.52	12	-2.07	0.0193	180	0.905	0.981	17878	0.991
RABGEF1	-10.51	12	-2.07	0.0194	181	0.905	0.981	17877	0.99
ITGB7	-10.48	12	-2.06	0.0197	182	0.905	0.98	17876	0.99
ATG16L2	-10.47	12	-2.06	0.0198	183	0.905	0.98	17875	0.99
ACVR1B	-10.43	12	-2.05	0.0201	184	0.905	0.98	17874	0.99
TMEM134	-10.41	12	-2.05	0.0203	185	0.905	0.98	17873	0.99
ANKRD37	-10.41	12	-2.05	0.0203	186	0.905	0.98	17872	0.99
VGLL4	-10.35	12	-2.04	0.0209	187	0.905	0.979	17871	0.989
GNA13	-10.35	12	-2.03	0.0209	188	0.905	0.979	17870	0.989
OBFC1	-10.34	12	-2.03	0.021	189	0.905	0.979	17869	0.989
C19orf44	-10.34	12	-2.03	0.021	190	0.905	0.979	17868	0.989
RABIF	-10.31	12	-2.03	0.0213	191	0.905	0.979	17867	0.989
SHROOM1	-10.29	12	-2.03	0.0214	192	0.905	0.979	17866	0.989
CABIN1	-10.29	12	-2.03	0.0214	193	0.905	0.979	17865	0.989
KDM2A	-10.29	12	-2.02	0.0214	194	0.905	0.979	17864	0.989
H1FNT	-10.27	12	-2.02	0.0216	195	0.905	0.978	17863	0.989
EPHB1	-10.23	12	-2.01	0.022	196	0.905	0.978	17862	0.989
H3F3B	-7.23	6	-2.01	0.0221	197	0.905	0.978	17861	0.989
NUP153	-10.21	12	-2.01	0.0222	198	0.905	0.978	17860	0.989
SIGLEC5	-10.20	12	-2.01	0.0224	199	0.905	0.978	17859	0.988
KCNA4	-10.19	12	-2.01	0.0224	200	0.905	0.978	17858	0.988
HS2ST1	-10.18	12	-2.00	0.0225	201	0.905	0.977	17857	0.988
WBSCR27	-10.17	12	-2.00	0.0226	202	0.905	0.977	17856	0.988
PTPN5	-10.17	12	-2.00	0.0226	203	0.905	0.977	17855	0.988
TERF1	-10.16	12	-2.00	0.0227	204	0.905	0.977	17854	0.988
MLXIP	-10.15	12	-2.00	0.0228	205	0.905	0.977	17853	0.988
CCDC70	-10.13	12	-1.99	0.0231	206	0.905	0.977	17852	0.988
NFKBIL1	-10.12	12	-1.99	0.0232	207	0.905	0.977	17851	0.988
CERS5	-10.11	12	-1.99	0.0233	208	0.905	0.977	17850	0.988
DHX8	-10.10	12	-1.99	0.0234	209	0.905	0.977	17849	0.988
RAB10	-10.10	12	-1.99	0.0234	210	0.905	0.977	17848	0.988
MFSD5	-10.09	12	-1.99	0.0235	211	0.905	0.976	17847	0.988
PDE4DIP	-10.08	12	-1.99	0.0236	212	0.905	0.976	17846	0.988
BCL9L	-10.07	12	-1.98	0.0237	213	0.905	0.976	17845	0.988
MAMSTR	-10.07	12	-1.98	0.0237	214	0.905	0.976	17844	0.988
NOS1AP	-10.07	12	-1.98	0.0237	215	0.905	0.976	17843	0.988
CREB1	-10.06	12	-1.98	0.0238	216	0.905	0.976	17842	0.988
HIST3H2BB	-10.04	12	-1.98	0.024	217	0.905	0.976	17841	0.988
SENP6	-10.01	12	-1.97	0.0243	218	0.905	0.976	17840	0.988
FURIN	-10.01	12	-1.97	0.0244	219	0.905	0.976	17839	0.988
ZWINT	-10.01	12	-1.97	0.0244	220	0.905	0.976	17838	0.988
DAB1	-10.01	12	-1.97	0.0244	221	0.905	0.976	17837	0.988
PDS5A	-10.00	12	-1.97	0.0244	222	0.905	0.976	17836	0.988
MUT	-9.99	12	-1.97	0.0245	223	0.905	0.975	17835	0.988
DAPK1	-9.98	12	-1.97	0.0246	224	0.905	0.975	17834	0.988
CRP	-9.97	12	-1.96	0.0248	225	0.905	0.975	17833	0.987
NFKB2	-9.97	12	-1.96	0.0248	226	0.905	0.975	17832	0.987
ACYP2	-9.95	12	-1.96	0.025	227	0.905	0.975	17831	0.987
ST18	-9.94	12	-1.96	0.0251	228	0.905	0.975	17830	0.987
TC2N	-9.92	12	-1.95	0.0254	229	0.905	0.975	17829	0.987
PPM1J	-9.91	12	-1.95	0.0254	230	0.905	0.975	17828	0.987
LPXN	-9.91	12	-1.95	0.0255	231	0.905	0.975	17827	0.987
LST1	-9.90	12	-1.95	0.0256	232	0.905	0.974	17826	0.987
HRASLS2	-9.90	12	-1.95	0.0256	233	0.905	0.974	17825	0.987
REG4	-9.89	12	-1.95	0.0256	234	0.905	0.974	17824	0.987
UPK1A	-9.89	12	-1.95	0.0257	235	0.905	0.974	17823	0.987
ZC3H11A	-9.89	12	-1.95	0.0257	236	0.905	0.974	17822	0.987
KRT222	-9.87	12	-1.94	0.0259	237	0.905	0.974	17821	0.987
TET1	-9.85	12	-1.94	0.0262	238	0.905	0.974	17820	0.987
KPRP	-9.84	12	-1.94	0.0262	239	0.905	0.974	17819	0.987
HEPACAM	-9.82	12	-1.93	0.0265	240	0.905	0.973	17818	0.987
RAB1B	-9.81	12	-1.93	0.0266	241	0.905	0.973	17817	0.986
RAB3IL1	-9.80	12	-1.93	0.0268	242	0.905	0.973	17816	0.986
VOPP1	-9.79	12	-1.93	0.0268	243	0.905	0.973	17815	0.986
SLC35C1	-9.78	12	-1.93	0.0269	244	0.905	0.973	17814	0.986
MPZ	-9.77	12	-1.93	0.027	245	0.905	0.973	17813	0.986
ANGPTL6	-9.73	12	-1.92	0.0276	246	0.905	0.972	17812	0.986
KIAA1324	-9.71	12	-1.91	0.0278	247	0.905	0.972	17811	0.986
OVOL2	-9.70	12	-1.91	0.0279	248	0.905	0.972	17810	0.986
KRT79	-9.70	12	-1.91	0.0279	249	0.905	0.972	17809	0.986
EPC1	-9.69	12	-1.91	0.028	250	0.905	0.972	17808	0.986
PRAMEF8	-9.69	12	-1.91	0.0281	251	0.905	0.972	17807	0.986
BRAP	-9.68	12	-1.91	0.0281	252	0.905	0.972	17806	0.986
LRRC8B	-9.68	12	-1.91	0.0282	253	0.905	0.972	17805	0.986
KRTAP1-1	-4.84	3	-1.91	0.0283	254	0.905	0.972	17804	0.986
GNAI2	-9.64	12	-1.90	0.0286	255	0.905	0.971	17803	0.985
TMEM100	-9.64	12	-1.90	0.0287	256	0.905	0.971	17802	0.985
LIX1L	-9.62	12	-1.90	0.0289	257	0.905	0.971	17801	0.985
SHC1	-9.61	12	-1.90	0.029	258	0.905	0.971	17800	0.985
TMEM38A	-9.58	12	-1.89	0.0294	259	0.905	0.971	17799	0.985
ANKLE2	-9.56	12	-1.89	0.0296	260	0.905	0.97	17798	0.985
KIF13A	-9.55	12	-1.88	0.0298	261	0.905	0.97	17797	0.984
CLEC2A	-9.53	12	-1.88	0.03	262	0.905	0.97	17796	0.984
FCGR1A	-9.53	12	-1.88	0.0301	263	0.905	0.97	17795	0.984
GLTP	-9.52	12	-1.88	0.0302	264	0.905	0.97	17794	0.984
KAT5	-9.50	12	-1.87	0.0305	265	0.905	0.97	17793	0.984
TBC1D10C	-9.49	12	-1.87	0.0305	266	0.905	0.969	17792	0.984
AP1M1	-9.48	12	-1.87	0.0307	267	0.905	0.969	17791	0.984
MFSD3	-9.48	12	-1.87	0.0308	268	0.905	0.969	17790	0.984
CEBPA	-9.47	12	-1.87	0.0308	269	0.905	0.969	17789	0.984
CMIP	-9.47	12	-1.87	0.0308	270	0.905	0.969	17788	0.984
GLIS1	-9.47	12	-1.87	0.0309	271	0.905	0.969	17787	0.984
KPNA3	-9.46	12	-1.87	0.031	272	0.905	0.969	17786	0.984
SPTY2D1	-9.46	12	-1.87	0.031	273	0.905	0.969	17785	0.984
SCRT2	-9.45	12	-1.87	0.031	274	0.905	0.969	17784	0.984
FAM221A	-9.44	12	-1.86	0.0313	275	0.905	0.969	17783	0.984
UBE2L6	-9.43	12	-1.86	0.0313	276	0.905	0.969	17782	0.984
TMEM117	-9.43	12	-1.86	0.0314	277	0.905	0.969	17781	0.984
GJA3	-9.41	12	-1.86	0.0316	278	0.905	0.968	17780	0.983
YEATS4	-9.41	12	-1.86	0.0317	279	0.905	0.968	17779	0.983
ENTPD6	-9.40	12	-1.86	0.0318	280	0.905	0.968	17778	0.983
KIAA0319	-9.39	12	-1.85	0.0319	281	0.905	0.968	17777	0.983
OR5A2	-9.39	12	-1.85	0.0319	282	0.905	0.968	17776	0.983
LAMA1	-9.39	12	-1.85	0.0319	283	0.905	0.968	17775	0.983
PIPOX	-9.36	12	-1.85	0.0323	284	0.905	0.968	17774	0.983
LPIN3	-9.35	12	-1.85	0.0325	285	0.905	0.968	17773	0.983
VAMP3	-9.35	12	-1.85	0.0325	286	0.905	0.967	17772	0.983
SPI1	-9.35	12	-1.84	0.0325	287	0.905	0.967	17771	0.983
PAPPA2	-9.34	12	-1.84	0.0326	288	0.905	0.967	17770	0.983
RTCA	-9.34	12	-1.84	0.0326	289	0.905	0.967	17769	0.983
CELA1	-9.34	12	-1.84	0.0326	290	0.905	0.967	17768	0.983
ACCSL	-9.34	12	-1.84	0.0326	291	0.905	0.967	17767	0.983
LPP	-9.32	12	-1.84	0.0328	292	0.905	0.967	17766	0.983
DEFB108B	-4.65	3	-1.84	0.033	293	0.905	0.967	17765	0.983
ZFP30	-9.31	12	-1.84	0.033	294	0.905	0.967	17764	0.983
RAB11FIP4	-9.29	12	-1.83	0.0333	295	0.905	0.967	17763	0.983
C10orf12	-9.28	12	-1.83	0.0334	296	0.905	0.967	17762	0.983
GOLGA8R	-6.56	6	-1.83	0.0335	297	0.905	0.967	17761	0.983
CCS	-9.28	12	-1.83	0.0335	298	0.905	0.967	17760	0.983
LCMT1	-9.27	12	-1.83	0.0336	299	0.905	0.966	17759	0.983
NKX1-2	-9.26	12	-1.83	0.0337	300	0.905	0.966	17758	0.983
ANKRD45	-9.26	12	-1.83	0.0337	301	0.905	0.966	17757	0.983
SLC26A10	-9.25	12	-1.83	0.0339	302	0.905	0.966	17756	0.983
ZFP57	-9.25	12	-1.83	0.0339	303	0.905	0.966	17755	0.983
FKBP1C	-7.99	9	-1.82	0.0342	304	0.905	0.966	17754	0.982
BCL2L15	-9.23	12	-1.82	0.0342	305	0.905	0.966	17753	0.982
IL10RA	-9.22	12	-1.82	0.0343	306	0.905	0.966	17752	0.982
COX7A1	-9.22	12	-1.82	0.0343	307	0.905	0.966	17751	0.982
SLC17A2	-9.22	12	-1.82	0.0343	308	0.905	0.966	17750	0.982
TMEM53	-9.17	12	-1.81	0.035	309	0.905	0.965	17749	0.982
NRSN1	-9.17	12	-1.81	0.035	310	0.905	0.965	17748	0.982
KIF5A	-9.17	12	-1.81	0.0351	311	0.905	0.965	17747	0.982
COL7A1	-9.16	12	-1.81	0.0351	312	0.905	0.965	17746	0.982
CATSPER1	-9.15	12	-1.81	0.0354	313	0.905	0.965	17745	0.982
DUOX2	-9.14	12	-1.81	0.0355	314	0.905	0.965	17744	0.982
HIST1H3G	-4.57	3	-1.81	0.0355	315	0.905	0.965	17743	0.982
PHLPP2	-9.13	12	-1.80	0.0356	316	0.905	0.964	17742	0.982
FAM212B	-9.13	12	-1.80	0.0356	317	0.905	0.964	17741	0.982
PVRL3	-9.13	12	-1.80	0.0357	318	0.905	0.964	17740	0.982
GPATCH1	-9.11	12	-1.80	0.036	319	0.905	0.964	17739	0.981
GZMA	-9.10	12	-1.80	0.036	320	0.905	0.964	17738	0.981
ZNF281	-9.10	12	-1.80	0.0361	321	0.905	0.964	17737	0.981
CHI3L2	-9.09	12	-1.80	0.0362	322	0.905	0.964	17736	0.981
HAO2	-9.08	12	-1.79	0.0363	323	0.905	0.964	17735	0.981
NKAIN1	-9.08	12	-1.79	0.0364	324	0.905	0.964	17734	0.981
PNMAL2	-9.08	12	-1.79	0.0364	325	0.905	0.964	17733	0.981
OSBP	-9.06	12	-1.79	0.0367	326	0.905	0.963	17732	0.981
GATAD1	-9.06	12	-1.79	0.0367	327	0.905	0.963	17731	0.981
ACP6	-9.06	12	-1.79	0.0367	328	0.905	0.963	17730	0.981
TULP1	-9.05	12	-1.79	0.0368	329	0.905	0.963	17729	0.981
ATP1A4	-9.04	12	-1.79	0.0369	330	0.905	0.963	17728	0.981
NPR1	-9.04	12	-1.79	0.0369	331	0.905	0.963	17727	0.981
ATXN7L3	-9.04	12	-1.79	0.037	332	0.905	0.963	17726	0.981
TFPT	-9.03	12	-1.79	0.0371	333	0.905	0.963	17725	0.981
SPTBN5	-9.03	12	-1.79	0.0371	334	0.905	0.963	17724	0.981
UBAP1	-9.03	12	-1.78	0.0371	335	0.905	0.963	17723	0.981
SMR3B	-9.03	12	-1.78	0.0372	336	0.905	0.963	17722	0.981
THBS3	-9.02	12	-1.78	0.0372	337	0.905	0.963	17721	0.981
INTS2	-9.02	12	-1.78	0.0374	338	0.905	0.963	17720	0.981
CD6	-9.01	12	-1.78	0.0374	339	0.905	0.963	17719	0.981
NOX5	-9.01	12	-1.78	0.0375	340	0.905	0.963	17718	0.981
GNG3	-9.01	12	-1.78	0.0375	341	0.905	0.963	17717	0.981
MAGEB5	-9.00	12	-1.78	0.0376	342	0.905	0.962	17716	0.981
RNF31	-8.99	12	-1.78	0.0377	343	0.905	0.962	17715	0.981
IL6R	-8.99	12	-1.78	0.0377	344	0.905	0.962	17714	0.981
NUP155	-8.99	12	-1.78	0.0378	345	0.905	0.962	17713	0.981
PPP1R1A	-8.98	12	-1.78	0.0379	346	0.905	0.962	17712	0.981
ASTL	-8.98	12	-1.78	0.0379	347	0.905	0.962	17711	0.981
EPN1	-8.98	12	-1.78	0.0379	348	0.905	0.962	17710	0.981
TMCO5A	-8.98	12	-1.78	0.0379	349	0.905	0.962	17709	0.981
VPS13C	-8.95	12	-1.77	0.0384	350	0.905	0.962	17708	0.981
IL20RB	-8.94	12	-1.77	0.0385	351	0.905	0.961	17707	0.98
